 non-industry income and expenditure/revenue, interest-bearing debt interest rate, per Net Share Value (B), Net Value Per Share (A), Persistent EPS in the Last Four Seasons, Per Share Net profit before tax (yuan), net value growth rate, quick ratio, interest expense ratio, debt ratio %, net worth/assets, borrowing dependency, net profit before tax/paid-in capital, fixed assets Turnover frequency,cash / total assets,working capital/equity,net income to total assets,Net income to stockholder's Equity,Degree of financial leverage (DFL),Interest coverage ratio( Interest expense to EBIT ),Bankrupt?
0.302646433889668,0.000725072507250725,0.147949938898487,0.147949938898487,0.16914058806845003,0.13873616027717098,0.000326977269203033,0.00120775508523532,0.629951302036958,0.207576261450555,0.7924237385494449,0.39028435435925796,0.13775733353442401,0.00011650065323580601,0.00409440595228806,0.7212745515217429,0.7168453432178271,0.82789021403512,0.0266006307607414,0.564050112276341,1
0.30355643029077095,0.000647064706470647,0.182251064009102,0.182251064009102,0.2089439349532,0.16991790314076996,0.0004430401005442,0.004039366826910479,0.6351724633909119,0.171176346101521,0.828823653898479,0.37676001995155295,0.168961616770983,719000000.0,0.0149477269714099,0.7319752885123509,0.7952971360430351,0.839969268005573,0.26457681983737497,0.570174946412453,1
0.302035177342951,0.00079007900790079,0.177910749652353,0.177910749652353,0.18058050486905605,0.142803344128945,0.000396425314703456,0.00534756022243655,0.629631443404885,0.20751579647489202,0.792484203525108,0.379092920106557,0.14803559309252698,2650000000.0,0.000990944451124824,0.742728637603645,0.774669696989803,0.8367743085501741,0.0265547199199004,0.563706076496047,1
0.303349536022685,0.000449044904490449,0.154186507100417,0.154186507100417,0.19372222747470896,0.14860284702869597,0.000382425906321948,0.00289649114708036,0.63022835303626,0.151464764035432,0.848535235964567,0.37974268759939395,0.14756051579820498,9150000000.0,0.0188506248270314,0.729824908743367,0.739554525158061,0.834697106753341,0.0266966344214761,0.564663420271241,1
0.303474977757658,0.000686068606860686,0.16750242299102402,0.16750242299102402,0.21253663609719198,0.16841153875122397,0.00043894758187295696,0.0037274466086162296,0.636054985548143,0.10650905463010499,0.893490945369894,0.37502544270303295,0.167460975793681,0.000293521126334367,0.0141609737513009,0.7319996410109209,0.79501587263578,0.839972745788203,0.0247518480523254,0.575616645216918,1
0.303115813175443,0.000716071607160716,0.15557709325355,0.15557709325355,0.174435095017491,0.13881147849664802,0.000351781925051909,0.000854661398126233,0.630183833098177,0.180427487377936,0.8195725126220641,0.38144818747302,0.137825201719327,9300000000.0,0.0026452256427289397,0.7252016387129889,0.7104204951009481,0.829938957445841,0.026675365750547,0.56453833936354,1
0.302814414633032,0.000805080508050805,0.158821794277527,0.158821794277527,0.161482461945731,0.128944791745123,0.000351756970669767,0.0028690421678704697,0.629987945370611,0.216101823019016,0.7838981769809841,0.384998982291879,0.127939069451776,0.00014524756767061498,0.0229885979786101,0.728730796471968,0.7366190976839391,0.829979763773696,0.0266222980418273,0.564200119780965,0
0.303544587044117,0.00063006300630063,0.17698369221693103,0.17698369221693103,0.22520563486810996,0.180462453867591,0.00045105045721169406,0.007304547672014641,0.6313790222051751,0.108202073948665,0.8917979260513349,0.3742191047299939,0.179518889978131,0.00051820095757485,0.0146159133960059,0.734946410014,0.815350392476567,0.8414594397264821,0.0270305165537491,0.566088941755739,0
0.303583500568838,0.000737073707370737,0.18418945682862098,0.18418945682862098,0.21839841164791501,0.173156586578293,0.00045272240081519003,0.0118230239542251,0.6309149874659251,0.05859056141729901,0.941409438582701,0.37025339813860103,0.17215896237086198,0.00024586176819244704,0.145189217702725,0.7351820547574041,0.8036472897921321,0.8404866330953491,0.0268906304546816,0.565591901310376,0
0.303482953821731,0.000672067206720672,0.177447220934642,0.177447220934642,0.21783114304623197,0.17662122467424898,0.00044491167920483,0.00751665342045473,0.6321882576951,0.121292741179672,0.878707258820328,0.374508760118367,0.175657944348088,0.000738341802325625,0.00877279091527246,0.737180245673185,0.804194656500343,0.840688177069564,0.0272430149466587,0.5666676223592071,0
0.30375897397845303,0.0005490549054905491,0.1829252875985,0.1829252875985,0.21896568024959803,0.17857949838065804,0.000448555018997522,0.00344921377389777,0.6312369008643721,0.10357650331045698,0.896423496689543,0.374179962109944,0.17761103989141103,0.000174750979853708,0.00205683623704281,0.7319589677612149,0.814110614307489,0.8413371291502709,0.0269710912232694,0.565891530490222,0
0.303604528374123,0.000703070307030703,0.173865408115966,0.173865408115966,0.20468942044057897,0.172478722602998,0.000455068112736512,0.00512297766526469,0.632095793208312,0.0943858270097046,0.905614172990295,0.373113046123427,0.171525525978433,0.00010666618250810799,0.0205422288308614,0.733045299018059,0.804886952966321,0.8406497316227959,0.0273908578413325,0.566982649156004,0
0.303434855738379,0.000576057605760576,0.169398676836206,0.169398676836206,0.219343859317387,0.174286359870453,0.000442965237397775,0.00402938537992506,0.632377638662484,0.144662454273362,0.855337545726638,0.37730689827168606,0.173290098785914,0.0002140888627645,0.0582180014761003,0.73268161569497,0.803260160615522,0.8407024158772671,0.0274797246787734,0.5671463266591751,0
